1	Carnosine	DB11695
2	Curcumin	DB11672
3	Nadide	DB14128
4	Resveratrol	DB02709
5	Astaxanthin	DB06543
6	Nicotinamide	DB02701
7	AloeVeraLeaf	DB13906
8	AlphaLipoicAcid	DB00166
9	Andrographolide	DB05767
10	Apigenin	DB07352
11	AstragalusSynonymTragacanth	DB10667
12	EGCG	DB12116
13	Spirulina	DB14744
14	EllagicAcid	DB08846
15	Melatonin	DB01065
16	Metformin	DB00331
17	Naringenin	DB03467
18	NicotinamideRiboside	DB14933
19	PyridoxamineB6	DB11673
20	Quercetin	DB04216
21	Rosemary	DB14272
22	RosemaryOil	DB14689
23	Sulforaphane	DB12422
24	NMN	DB03227
25	Allantoin	DB11100
26	Fluoxetine	DB00472
27	NicotinamideRiboside	DB14933

28	Remdesivir	DB14761
29	Hydroxychloroquine	DB01611
30	Eculizumab	DB01257
31	Methylprednisolone	DB00959
32	Bevacizumab	DB00112

33	beta-Sitosterol	DB14038
34	CoQ10-Ubidecarenone	DB09270
35	Pyridoxamine	DB11673
36	Fluvoxamine	DB00176

37	Methscopolamine	DB11315
38	Terfenadine	DB00342
39	Monensin	DB11430
40	hydrocortisone-hemisuccinate	DB14545

41	racecadotril	DB11696
42	doxycycline	DB00254
43	peficitinib	DB11708
44	isoxsuprine	DB08941
